domain,column,n_missing,n_total
QCL,reporter_area_code,432189,432189
QCL,reporter_area,432189,432189
QCL,partner_area_code,432189,432189
QCL,partner_area,432189,432189
QCL,month_code,432189,432189
QCL,month,432189,432189
QCL,source_code,432189,432189
QCL,source,432189,432189
QCL,release_code,432189,432189
QCL,release,432189,432189
QCL,value,6790,432189
QCL,note,427273,432189
QCL,request_parameters,432189,432189
TM,area_code,6123614,6123614
TM,area,6123614,6123614
TM,month_code,6123614,6123614
TM,month,6123614,6123614
TM,source_code,6123614,6123614
TM,source,6123614,6123614
TM,release_code,6123614,6123614
TM,release,6123614,6123614
TM,note,6123614,6123614
TM,request_parameters,6123614,6123614
FBS,reporter_area_code,2424763,2424763
FBS,reporter_area,2424763,2424763
FBS,partner_area_code,2424763,2424763
FBS,partner_area,2424763,2424763
FBS,month_code,2424763,2424763
FBS,month,2424763,2424763
FBS,source_code,2424763,2424763
FBS,source,2424763,2424763
FBS,release_code,2424763,2424763
FBS,release,2424763,2424763
FBS,note,2424763,2424763
FBS,request_parameters,2424763,2424763
FS,reporter_area_code,45203,45203
FS,reporter_area,45203,45203
FS,partner_area_code,45203,45203
FS,partner_area,45203,45203
FS,month_code,45203,45203
FS,month,45203,45203
FS,source_code,45203,45203
FS,source,45203,45203
FS,release_code,45203,45203
FS,release,45203,45203
FS,value,10455,45203
FS,note,33093,45203
FS,request_parameters,45203,45203
CAHD,reporter_area_code,5702,5702
CAHD,reporter_area,5702,5702
CAHD,partner_area_code,5702,5702
CAHD,partner_area,5702,5702
CAHD,month_code,5702,5702
CAHD,month,5702,5702
CAHD,source_code,5702,5702
CAHD,source,5702,5702
CAHD,release_code,5702,5702
CAHD,value,639,5702
CAHD,note,5702,5702
CAHD,request_parameters,5702,5702
RFM,area_code,1721174,1721174
RFM,area,1721174,1721174
RFM,month_code,1721174,1721174
RFM,month,1721174,1721174
RFM,source_code,1721174,1721174
RFM,source,1721174,1721174
RFM,release_code,1721174,1721174
RFM,release,1721174,1721174
RFM,value,5542,1721174
RFM,note,1721174,1721174
RFM,request_parameters,1721174,1721174
CP,reporter_area_code,53228,53228
CP,reporter_area,53228,53228
CP,partner_area_code,53228,53228
CP,partner_area,53228,53228
CP,source_code,53228,53228
CP,source,53228,53228
CP,release_code,53228,53228
CP,release,53228,53228
CP,unit,26620,53228
CP,value,24,53228
CP,note,26620,53228
CP,request_parameters,53228,53228
GT,reporter_area_code,582911,582911
GT,reporter_area,582911,582911
GT,partner_area_code,582911,582911
GT,partner_area,582911,582911
GT,month_code,582911,582911
GT,month,582911,582911
GT,release_code,582911,582911
GT,release,582911,582911
GT,note,582911,582911
GT,request_parameters,582911,582911
RL,reporter_area_code,103076,103076
RL,reporter_area,103076,103076
RL,partner_area_code,103076,103076
RL,partner_area,103076,103076
RL,month_code,103076,103076
RL,month,103076,103076
RL,source_code,103076,103076
RL,source,103076,103076
RL,release_code,103076,103076
RL,release,103076,103076
RL,value,79,103076
RL,note,103076,103076
RL,request_parameters,103076,103076
