id,domain_code,item_code,item,canonical_commodity,mapping_status
1,QCL,101,Canary seed,,unmapped
2,QCL,103,Mixed grain,,unmapped
3,QCL,108,Cereals n.e.c.,,unmapped
4,QCL,116,Potatoes,Potatoes,manual
5,QCL,122,Sweet potatoes,Sweet potatoes,manual
6,QCL,125,"Cassava, fresh",Cassava,manual
7,QCL,135,Yautia,,unmapped
8,QCL,136,Taro,,unmapped
9,QCL,137,Yams,,unmapped
10,QCL,149,"Edible roots and tubers with high starch or inulin content, n.e.c., fresh",,unmapped
11,QCL,15,Wheat,Wheat,manual
12,QCL,156,Sugar cane,Sugar cane,manual
13,QCL,157,Sugar beet,Sugar beet,manual
14,QCL,161,Other sugar crops n.e.c.,,unmapped
15,QCL,176,"Beans, dry",,unmapped
16,QCL,181,"Broad beans and horse beans, dry",,unmapped
17,QCL,187,"Peas, dry",,unmapped
18,QCL,191,"Chick peas, dry",,unmapped
19,QCL,195,"Cow peas, dry",,unmapped
20,QCL,197,"Pigeon peas, dry",,unmapped
21,QCL,201,"Lentils, dry",,unmapped
22,QCL,203,"Bambara beans, dry",,unmapped
23,QCL,205,Vetches,,unmapped
24,QCL,210,Lupins,,unmapped
25,QCL,211,Other pulses n.e.c.,,unmapped
26,QCL,216,"Brazil nuts, in shell",,unmapped
27,QCL,217,"Cashew nuts, in shell",,unmapped
28,QCL,220,"Chestnuts, in shell",,unmapped
29,QCL,221,"Almonds, in shell",,unmapped
30,QCL,222,"Walnuts, in shell",,unmapped
31,QCL,223,"Pistachios, in shell",,unmapped
32,QCL,224,Kola nuts,,unmapped
33,QCL,225,"Hazelnuts, in shell",,unmapped
34,QCL,226,Areca nuts,,unmapped
35,QCL,234,"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",,unmapped
36,QCL,236,Soya beans,Soybeans,manual
37,QCL,242,"Groundnuts, excluding shelled",Groundnuts,manual
38,QCL,249,"Coconuts, in shell",,unmapped
39,QCL,254,Oil palm fruit,,unmapped
40,QCL,260,Olives,,unmapped
41,QCL,263,Karite nuts (sheanuts),,unmapped
42,QCL,265,Castor oil seeds,,unmapped
43,QCL,267,Sunflower seed,Sunflower seed,manual
44,QCL,27,Rice,Rice,manual
45,QCL,270,Rape or colza seed,Rapeseed,manual
46,QCL,275,Tung nuts,,unmapped
47,QCL,277,Jojoba seeds,,unmapped
48,QCL,280,Safflower seed,,unmapped
49,QCL,289,Sesame seed,,unmapped
50,QCL,292,Mustard seed,,unmapped
51,QCL,296,Poppy seed,,unmapped
52,QCL,299,Melonseed,,unmapped
53,QCL,305,Tallowtree seeds,,unmapped
54,QCL,310,Kapok fruit,,unmapped
55,QCL,328,"Seed cotton, unginned",,unmapped
56,QCL,333,Linseed,,unmapped
57,QCL,336,Hempseed,,unmapped
58,QCL,339,"Other oil seeds, n.e.c.",,unmapped
59,QCL,358,Cabbages,,unmapped
60,QCL,366,Artichokes,,unmapped
61,QCL,367,Asparagus,,unmapped
62,QCL,372,Lettuce and chicory,,unmapped
63,QCL,373,Spinach,,unmapped
64,QCL,378,Cassava leaves,,unmapped
65,QCL,388,Tomatoes,,unmapped
66,QCL,393,Cauliflowers and broccoli,,unmapped
67,QCL,394,"Pumpkins, squash and gourds",,unmapped
68,QCL,397,Cucumbers and gherkins,,unmapped
69,QCL,399,Eggplants (aubergines),,unmapped
70,QCL,401,"Chillies and peppers, green (Capsicum spp. and Pimenta spp.)",,unmapped
71,QCL,402,"Onions and shallots, green",,unmapped
72,QCL,403,"Onions and shallots, dry (excluding dehydrated)",,unmapped
73,QCL,406,Green garlic,,unmapped
74,QCL,407,Leeks and other alliaceous vegetables,,unmapped
75,QCL,414,"Other beans, green",,unmapped
76,QCL,417,"Peas, green",,unmapped
77,QCL,420,"Broad beans and horse beans, green",,unmapped
78,QCL,423,String beans,,unmapped
79,QCL,426,Carrots and turnips,,unmapped
80,QCL,430,Okra,,unmapped
81,QCL,44,Barley,Barley,manual
82,QCL,446,Green corn (maize),,unmapped
83,QCL,449,Mushrooms and truffles,,unmapped
84,QCL,459,Chicory roots,,unmapped
85,QCL,461,Locust beans (carobs),,unmapped
86,QCL,463,"Other vegetables, fresh n.e.c.",,unmapped
87,QCL,486,Bananas,,unmapped
88,QCL,489,Plantains and cooking bananas,,unmapped
89,QCL,490,Oranges,,unmapped
90,QCL,495,"Tangerines, mandarins, clementines",,unmapped
91,QCL,497,Lemons and limes,,unmapped
92,QCL,507,Pomelos and grapefruits,,unmapped
93,QCL,512,"Other citrus fruit, n.e.c.",,unmapped
94,QCL,515,Apples,,unmapped
95,QCL,521,Pears,,unmapped
96,QCL,523,Quinces,,unmapped
97,QCL,526,Apricots,,unmapped
