area_code,area,n_years,n_crops,area_ha_pooled,share_area_on_kcal_crops
131,Malaysia,11,49,80071840.0,0.1511578727302882
101,Indonesia,11,60,462573367.0,0.6247082098005872
213,Turkmenistan,11,25,16834158.0,0.6277343363416216
235,Uzbekistan,11,76,38632483.0,0.6794565599109951
8,Antigua and Barbuda,11,27,25600.0,0.7412890625
25,Solomon Islands,11,17,1066496.0,0.7689508446351416
168,Papua New Guinea,11,34,12737509.0,0.7945477408494863
208,Tajikistan,11,43,9536424.0,0.8031904831412697
216,Thailand,11,69,235974891.0,0.8053833998804559
74,Gabon,11,25,3423149.0,0.8250420884396209
26,Brunei Darussalam,11,26,262138.0,0.8265493747568075
123,Liberia,11,23,7514666.0,0.8367707892805881
95,Honduras,11,50,13544513.0,0.8437501591973074
48,Costa Rica,11,54,5671568.0,0.8515518107161899
53,Benin,11,40,44573538.0,0.8595420897484063
58,Ecuador,11,79,24302771.0,0.8813390456586205
44,Colombia,11,70,47772222.0,0.8858626672211312
89,Guatemala,11,60,28548724.0,0.8874598038076938
165,Pakistan,11,79,243737403.0,0.8887393413312112
107,Côte d'Ivoire,11,55,139557002.0,0.8966184584561367
181,Zimbabwe,11,79,26425164.0,0.8984695799806578
84,Greece,11,95,27661996.0,0.8986035931752719
38,Sri Lanka,11,51,27694362.0,0.9154504804985217
115,Cambodia,11,31,53731042.0,0.918651233303832
233,Burkina Faso,11,38,87669491.0,0.9210902570427836
133,Mali,11,57,89873171.0,0.9251378256142759
159,Nigeria,11,49,653173254.0,0.9258421763240171
120,Lao People's Democratic Republic,11,36,21152937.0,0.9283275414662276
100,India,11,84,2210534312.0,0.9301995485153094
32,Cameroon,11,67,78453465.0,0.9312006550634825
61,Equatorial Guinea,11,10,995010.0,0.937066964151114
81,Ghana,11,48,84606981.0,0.9378389473558926
90,Guinea,11,41,68146004.0,0.9378757116851635
52,Azerbaijan,11,63,15699119.0,0.9381779321502054
16,Bangladesh,11,63,178222866.0,0.9387518939348669
166,Panama,11,46,3362983.0,0.9391703734452419
217,Togo,11,36,27061765.0,0.9441073780664343
237,Viet Nam,11,43,152587576.0,0.9486864448256259
154,North Macedonia,11,65,3656311.0,0.9517696935517794
175,Guinea-Bissau,11,27,6283340.0,0.9540507118825338
39,Chad,11,23,55800402.0,0.9543082682450925
193,Sao Tome and Principe,11,20,506581.0,0.9597477994634619
251,Zambia,11,32,27073799.0,0.9600565845967904
46,Congo,11,43,4365411.0,0.9602312359592259
116,Democratic People's Republic of Korea,11,34,29412715.0,0.9615349008073549
231,United States of America,11,90,1103842665.0,0.961703659098917
157,Nicaragua,10,33,10510130.0,0.9625193028059595
130,Malawi,11,66,50428338.0,0.9644275010610106
215,United Republic of Tanzania,11,70,173205117.0,0.9668955161411311
236,Venezuela (Bolivarian Republic of),11,58,17355577.0,0.9669955081297499
250,Democratic Republic of the Congo,11,55,145748527.0,0.9677124901577907
28,Myanmar,11,43,186963321.0,0.9678689169198059
171,Philippines,11,71,159261583.0,0.9683133941975197
201,Somalia,11,24,6554204.0,0.9691143272318042
121,Lebanon,11,63,2965332.0,0.969237508649959
144,Mozambique,11,41,73441796.0,0.9695141170022585
223,Türkiye,11,95,201515640.0,0.9696888092656233
156,New Zealand,11,59,2891522.0,0.9700898004580287
41,"China, mainland",11,117,1998277231.0,0.9703302028966571
351,China,11,121,2006023627.0,0.9704384369147812
56,Dominican Republic,11,56,11372813.0,0.9726594466997743
255,Belgium,11,74,6402588.0,0.9730874452643212
197,Sierra Leone,11,40,18207023.0,0.9731915536109336
21,Brazil,11,71,927162532.0,0.9735820105379323
238,Ethiopia,11,72,194510424.0,0.974572684084016
170,Peru,11,96,37738586.0,0.9746709640896456
105,Israel,11,71,3312257.0,0.9752093512067451
113,Kyrgyzstan,11,68,10477271.0,0.9788211071375361
49,Cuba,11,44,13829616.0,0.9793181531576871
59,Egypt,11,78,62001284.0,0.979743371121153
138,Mexico,11,110,174847474.0,0.9807537797200319
75,Gambia,11,16,2917456.0,0.9808370717501823
249,Yemen,11,53,11385440.0,0.9824764787307297
209,Eswatini,11,28,1949666.0,0.9826324098589194
40,Chile,11,72,13192535.0,0.9830607233560494
93,Haiti,11,44,15919876.0,0.9831434616701789
2,Afghanistan,11,40,36140577.0,0.9833347707757959
10,Australia,11,86,269623351.0,0.9840007143891628
3,Albania,11,58,3220629.0,0.9860918472757961
57,Belarus,11,39,35874224.0,0.9867588494736499
9,Argentina,11,74,407350184.0,0.9868571631724119
86,Grenada,11,45,125155.0,0.9869761495745276
129,Madagascar,11,71,35642216.0,0.9870924972790693
226,Uganda,11,36,95124292.0,0.9873946604511916
109,Jamaica,11,52,1268827.0,0.9874104192297295
114,Kenya,11,85,66188416.0,0.9881541809370389
276,Sudan,11,45,200635275.0,0.9888853443144532
198,Slovenia,11,78,1556939.0,0.9890573747590625
212,Syrian Arab Republic,11,70,45920429.0,0.9891423923761687
68,France,11,90,150691703.0,0.990412975822564
195,Senegal,11,37,38576524.0,0.9905640020858282
207,Suriname,11,31,734451.0,0.9909837415974653
60,El Salvador,11,43,7909808.0,0.9912937204038328
299,Palestine,9,67,1049380.0,0.9917846728544474
150,Netherlands (Kingdom of the),11,75,5886311.0,0.9920128243308924
66,Fiji,11,37,750194.0,0.9920460574198141
117,Republic of Korea,11,56,16268096.0,0.9921094023541538
188,Saint Kitts and Nevis,11,18,16500.0,0.9931515151515151
29,Burundi,11,25,20989535.0,0.9933131915499795
273,Montenegro,11,35,198714.0,0.9934780639512063
108,Kazakhstan,11,65,208190567.0,0.9936364984298256
102,Iran (Islamic Republic of),11,86,129290902.0,0.9942532228601824
191,Saint Vincent and the Grenadines,11,27,123109.0,0.9943545963333307
7,Angola,11,35,63373608.0,0.9945493240656268
169,Paraguay,11,50,65081228.0,0.994606109767935
203,Spain,11,103,139289578.0,0.9952546844531326
98,Croatia,11,82,8811307.0,0.9952635857540771
73,Georgia,11,49,3756573.0,0.9954229559760984
184,Rwanda,11,40,21603735.0,0.9954819386555149
137,Mauritius,11,37,606369.0,0.9960931380067253
221,Oman,11,29,739671.0,0.9962267007899458
220,Trinidad and Tobago,11,39,338723.0,0.9962299578121355
244,Samoa,11,22,396411.0,0.996438040316742
18,Bhutan,11,66,747393.0,0.9966403217584323
27,Bulgaria,11,95,33763018.0,0.9970316042244801
20,Botswana,11,21,1949351.0,0.9971493076413637
79,Germany,11,71,94181424.0,0.9973354618210062
167,Czechia,11,79,21857263.0,0.9974046155733223
229,United Kingdom of Great Britain and Northern Ireland,11,40,47766823.0,0.997549554426092
106,Italy,11,88,72220652.0,0.9977021531181968
110,Japan,11,70,31905466.0,0.9977505735224178
272,Serbia,11,56,28581567.0,0.997902879152847
80,Bosnia and Herzegovina,11,55,5832268.0,0.9979803740157346
149,Nepal,11,54,53195393.0,0.9980715059290943
211,Switzerland,11,60,2722821.0,0.9981633019577857
214,"China, Taiwan Province of",11,68,7721683.0,0.9983532087499577
19,Bolivia (Plurinational State of),11,69,42611695.0,0.9983688046204217
1,Armenia,11,41,2754985.0,0.9984101546832378
173,Poland,11,87,108505392.0,0.9984571734462745
11,Austria,11,74,11960828.0,0.9986270181295142
222,Tunisia,11,73,40335321.0,0.9987134353040106
143,Morocco,11,91,73820417.0,0.9987568750796951
4,Algeria,11,59,48681180.0,0.998886017142559
103,Iraq,11,68,29254183.0,0.9989703352850429
33,Canada,11,58,335448946.0,0.9989785151985542
97,Hungary,11,95,40492529.0,0.9989940860448603
185,Russian Federation,11,68,693455717.0,0.9991020061054599
124,Libya,11,42,8801290.0,0.9992405658715938
277,South Sudan,11,23,24511427.0,0.9993272933477109
126,Lithuania,11,83,20018493.0,0.9993543470030436
91,Guyana,11,44,2583177.0,0.999477387728367
234,Uruguay,11,43,22162124.0,0.9995961127191599
225,United Arab Emirates,11,28,515280.0,0.9996176835895048
