domain,scope_kind,requested,retrieved
QCL,element,Production|t,True
QCL,element,Area harvested,True
QCL,element,Yield|kg/ha,True
QCL,item,101,True
QCL,item,103,True
QCL,item,108,True
QCL,item,116,True
QCL,item,122,True
QCL,item,125,True
QCL,item,135,True
QCL,item,136,True
QCL,item,137,True
QCL,item,149,True
QCL,item,15,True
QCL,item,156,True
QCL,item,157,True
QCL,item,161,True
QCL,item,176,True
QCL,item,181,True
QCL,item,187,True
QCL,item,191,True
QCL,item,195,True
QCL,item,197,True
QCL,item,201,True
QCL,item,203,True
QCL,item,205,True
QCL,item,210,True
QCL,item,211,True
QCL,item,216,True
QCL,item,217,True
QCL,item,220,True
QCL,item,221,True
QCL,item,222,True
QCL,item,223,True
QCL,item,224,True
QCL,item,225,True
QCL,item,226,True
QCL,item,234,True
QCL,item,236,True
QCL,item,242,True
QCL,item,249,True
QCL,item,254,True
QCL,item,260,True
QCL,item,263,True
QCL,item,265,True
QCL,item,267,True
QCL,item,27,True
QCL,item,270,True
QCL,item,275,True
QCL,item,277,True
QCL,item,280,True
QCL,item,289,True
QCL,item,292,True
QCL,item,296,True
QCL,item,299,True
QCL,item,305,True
QCL,item,310,True
QCL,item,328,True
QCL,item,333,True
QCL,item,336,True
QCL,item,339,True
QCL,item,358,True
QCL,item,366,True
QCL,item,367,True
QCL,item,372,True
QCL,item,373,True
QCL,item,378,True
QCL,item,388,True
QCL,item,393,True
QCL,item,394,True
QCL,item,397,True
QCL,item,399,True
QCL,item,401,True
QCL,item,402,True
QCL,item,403,True
QCL,item,406,True
QCL,item,407,True
QCL,item,414,True
QCL,item,417,True
QCL,item,420,True
QCL,item,423,True
QCL,item,426,True
QCL,item,430,True
QCL,item,44,True
QCL,item,446,True
QCL,item,449,True
QCL,item,459,True
QCL,item,461,True
QCL,item,463,True
QCL,item,486,True
QCL,item,489,True
QCL,item,490,True
QCL,item,495,True
QCL,item,497,True
QCL,item,507,True
QCL,item,512,True
QCL,item,515,True
QCL,item,521,True
QCL,item,523,True
QCL,item,526,True
QCL,item,530,True
QCL,item,531,True
QCL,item,534,True
QCL,item,536,True
QCL,item,541,True
QCL,item,542,True
QCL,item,544,True
QCL,item,547,True
QCL,item,549,True
QCL,item,550,True
QCL,item,552,True
QCL,item,554,True
QCL,item,558,True
QCL,item,56,True
QCL,item,560,True
QCL,item,567,True
QCL,item,568,True
QCL,item,569,True
QCL,item,571,True
QCL,item,572,True
QCL,item,574,True
QCL,item,577,True
QCL,item,587,True
QCL,item,591,True
QCL,item,592,True
QCL,item,600,True
QCL,item,603,True
QCL,item,619,True
QCL,item,656,True
QCL,item,661,True
QCL,item,667,True
QCL,item,671,True
QCL,item,677,True
QCL,item,687,True
QCL,item,689,True
QCL,item,692,True
QCL,item,693,True
QCL,item,698,True
QCL,item,702,True
QCL,item,71,True
QCL,item,711,True
QCL,item,720,True
QCL,item,723,True
QCL,item,748,True
QCL,item,75,True
QCL,item,754,True
QCL,item,771,True
QCL,item,777,True
QCL,item,780,True
QCL,item,782,True
QCL,item,788,True
QCL,item,789,True
